tick,pack_id,pack_ext_id,event_type,event_type_u8,from_location_id,to_location_id,from_location,to_location
1,1,pack_002,MOVE,3,0,3,loc_obp_de,loc_wh_fr
2,0,pack_001,MOVE,3,0,1,loc_obp_de,loc_wh_de
3,0,pack_001,MOVE,3,1,2,loc_wh_de,loc_ph_de
5,1,pack_002,MOVE,3,3,4,loc_wh_fr,loc_ph_fr
6,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
7,0,pack_001,VERIFY,0,2,,loc_ph_de,—
8,0,pack_001,VERIFY,0,2,,loc_ph_de,—
13,0,pack_001,VERIFY,0,2,,loc_ph_de,—
15,0,pack_001,VERIFY,0,2,,loc_ph_de,—
15,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
18,0,pack_001,VERIFY,0,2,,loc_ph_de,—
19,0,pack_001,VERIFY,0,2,,loc_ph_de,—
21,0,pack_001,VERIFY,0,2,,loc_ph_de,—
21,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
22,0,pack_001,VERIFY,0,2,,loc_ph_de,—
23,0,pack_001,VERIFY,0,2,,loc_ph_de,—
28,0,pack_001,VERIFY,0,2,,loc_ph_de,—
29,0,pack_001,VERIFY,0,2,,loc_ph_de,—
30,0,pack_001,VERIFY,0,2,,loc_ph_de,—
31,0,pack_001,VERIFY,0,2,,loc_ph_de,—
35,0,pack_001,VERIFY,0,2,,loc_ph_de,—
36,0,pack_001,VERIFY,0,2,,loc_ph_de,—
38,0,pack_001,VERIFY,0,2,,loc_ph_de,—
41,0,pack_001,VERIFY,0,2,,loc_ph_de,—
43,0,pack_001,VERIFY,0,2,,loc_ph_de,—
47,0,pack_001,VERIFY,0,2,,loc_ph_de,—
48,0,pack_001,VERIFY,0,2,,loc_ph_de,—
51,0,pack_001,VERIFY,0,2,,loc_ph_de,—
53,0,pack_001,VERIFY,0,2,,loc_ph_de,—
56,0,pack_001,VERIFY,0,2,,loc_ph_de,—
57,0,pack_001,VERIFY,0,2,,loc_ph_de,—
58,0,pack_001,VERIFY,0,2,,loc_ph_de,—
59,0,pack_001,VERIFY,0,2,,loc_ph_de,—
61,0,pack_001,VERIFY,0,2,,loc_ph_de,—
65,0,pack_001,VERIFY,0,2,,loc_ph_de,—
66,0,pack_001,VERIFY,0,2,,loc_ph_de,—
67,0,pack_001,VERIFY,0,2,,loc_ph_de,—
68,0,pack_001,VERIFY,0,2,,loc_ph_de,—
69,0,pack_001,VERIFY,0,2,,loc_ph_de,—
70,0,pack_001,VERIFY,0,2,,loc_ph_de,—
71,0,pack_001,VERIFY,0,2,,loc_ph_de,—
74,0,pack_001,VERIFY,0,2,,loc_ph_de,—
75,0,pack_001,VERIFY,0,2,,loc_ph_de,—
77,0,pack_001,VERIFY,0,2,,loc_ph_de,—
78,0,pack_001,VERIFY,0,2,,loc_ph_de,—
81,0,pack_001,VERIFY,0,2,,loc_ph_de,—
82,0,pack_001,VERIFY,0,2,,loc_ph_de,—
83,0,pack_001,VERIFY,0,2,,loc_ph_de,—
87,0,pack_001,VERIFY,0,2,,loc_ph_de,—
87,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
89,0,pack_001,VERIFY,0,2,,loc_ph_de,—
91,0,pack_001,VERIFY,0,2,,loc_ph_de,—
93,0,pack_001,VERIFY,0,2,,loc_ph_de,—
96,0,pack_001,VERIFY,0,2,,loc_ph_de,—
99,0,pack_001,VERIFY,0,2,,loc_ph_de,—
100,0,pack_001,VERIFY,0,2,,loc_ph_de,—
101,0,pack_001,VERIFY,0,2,,loc_ph_de,—
102,0,pack_001,VERIFY,0,2,,loc_ph_de,—
103,0,pack_001,VERIFY,0,2,,loc_ph_de,—
104,0,pack_001,VERIFY,0,2,,loc_ph_de,—
104,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
105,0,pack_001,VERIFY,0,2,,loc_ph_de,—
106,0,pack_001,VERIFY,0,2,,loc_ph_de,—
107,0,pack_001,VERIFY,0,2,,loc_ph_de,—
108,0,pack_001,VERIFY,0,2,,loc_ph_de,—
109,0,pack_001,VERIFY,0,2,,loc_ph_de,—
111,0,pack_001,VERIFY,0,2,,loc_ph_de,—
112,0,pack_001,VERIFY,0,2,,loc_ph_de,—
115,0,pack_001,VERIFY,0,2,,loc_ph_de,—
117,0,pack_001,VERIFY,0,2,,loc_ph_de,—
119,0,pack_001,VERIFY,0,2,,loc_ph_de,—
120,0,pack_001,VERIFY,0,2,,loc_ph_de,—
121,0,pack_001,VERIFY,0,2,,loc_ph_de,—
123,0,pack_001,VERIFY,0,2,,loc_ph_de,—
124,0,pack_001,VERIFY,0,2,,loc_ph_de,—
125,0,pack_001,VERIFY,0,2,,loc_ph_de,—
126,0,pack_001,VERIFY,0,2,,loc_ph_de,—
126,0,pack_001,REACTIVATE,2,2,,loc_ph_de,—
127,0,pack_001,VERIFY,0,2,,loc_ph_de,—
128,0,pack_001,VERIFY,0,2,,loc_ph_de,—
131,0,pack_001,DECOMMISSION,1,2,,loc_ph_de,—
132,0,pack_001,VERIFY,0,2,,loc_ph_de,—
134,0,pack_001,VERIFY,0,2,,loc_ph_de,—
135,0,pack_001,VERIFY,0,2,,loc_ph_de,—
137,0,pack_001,VERIFY,0,2,,loc_ph_de,—
141,0,pack_001,VERIFY,0,2,,loc_ph_de,—
142,0,pack_001,VERIFY,0,2,,loc_ph_de,—
144,0,pack_001,VERIFY,0,2,,loc_ph_de,—
146,0,pack_001,VERIFY,0,2,,loc_ph_de,—
147,0,pack_001,VERIFY,0,2,,loc_ph_de,—
148,0,pack_001,VERIFY,0,2,,loc_ph_de,—
149,0,pack_001,VERIFY,0,2,,loc_ph_de,—
154,0,pack_001,VERIFY,0,2,,loc_ph_de,—
156,0,pack_001,VERIFY,0,2,,loc_ph_de,—
162,0,pack_001,VERIFY,0,2,,loc_ph_de,—
163,0,pack_001,VERIFY,0,2,,loc_ph_de,—
168,0,pack_001,VERIFY,0,2,,loc_ph_de,—
170,0,pack_001,VERIFY,0,2,,loc_ph_de,—
171,0,pack_001,VERIFY,0,2,,loc_ph_de,—
173,0,pack_001,VERIFY,0,2,,loc_ph_de,—
175,0,pack_001,VERIFY,0,2,,loc_ph_de,—
178,0,pack_001,VERIFY,0,2,,loc_ph_de,—
181,0,pack_001,VERIFY,0,2,,loc_ph_de,—
182,0,pack_001,VERIFY,0,2,,loc_ph_de,—
184,0,pack_001,VERIFY,0,2,,loc_ph_de,—
185,0,pack_001,VERIFY,0,2,,loc_ph_de,—
186,0,pack_001,VERIFY,0,2,,loc_ph_de,—
188,0,pack_001,VERIFY,0,2,,loc_ph_de,—
189,0,pack_001,VERIFY,0,2,,loc_ph_de,—
191,0,pack_001,VERIFY,0,2,,loc_ph_de,—
194,0,pack_001,VERIFY,0,2,,loc_ph_de,—
195,0,pack_001,VERIFY,0,2,,loc_ph_de,—
197,0,pack_001,VERIFY,0,2,,loc_ph_de,—
198,0,pack_001,VERIFY,0,2,,loc_ph_de,—
202,0,pack_001,VERIFY,0,2,,loc_ph_de,—
204,0,pack_001,VERIFY,0,2,,loc_ph_de,—
205,0,pack_001,VERIFY,0,2,,loc_ph_de,—
206,0,pack_001,VERIFY,0,2,,loc_ph_de,—
213,0,pack_001,VERIFY,0,2,,loc_ph_de,—
214,0,pack_001,VERIFY,0,2,,loc_ph_de,—
215,0,pack_001,VERIFY,0,2,,loc_ph_de,—
217,0,pack_001,VERIFY,0,2,,loc_ph_de,—
218,0,pack_001,VERIFY,0,2,,loc_ph_de,—
222,0,pack_001,VERIFY,0,2,,loc_ph_de,—
224,0,pack_001,VERIFY,0,2,,loc_ph_de,—
225,0,pack_001,VERIFY,0,2,,loc_ph_de,—
226,0,pack_001,VERIFY,0,2,,loc_ph_de,—
230,0,pack_001,VERIFY,0,2,,loc_ph_de,—
231,0,pack_001,VERIFY,0,2,,loc_ph_de,—
234,0,pack_001,VERIFY,0,2,,loc_ph_de,—
